year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2030,BUKIT MERAH,BUKIT MERAH,Prophet,0.0
2026,BUKIT MERAH,CITY TERMINALS,Linear,0.0
2027,BUKIT MERAH,CITY TERMINALS,Linear,0.0
2028,BUKIT MERAH,CITY TERMINALS,Linear,0.0
2029,BUKIT MERAH,CITY TERMINALS,Linear,0.0
2030,BUKIT MERAH,CITY TERMINALS,Linear,0.0
2026,BUKIT MERAH,CITY TERMINALS,Prophet,0.0
2027,BUKIT MERAH,CITY TERMINALS,Prophet,0.0
2028,BUKIT MERAH,CITY TERMINALS,Prophet,0.0
2029,BUKIT MERAH,CITY TERMINALS,Prophet,0.0
2030,BUKIT MERAH,CITY TERMINALS,Prophet,0.0
2026,BUKIT MERAH,DEPOT ROAD,Linear,197.33333333331393
2027,BUKIT MERAH,DEPOT ROAD,Linear,127.48484848483349
2028,BUKIT MERAH,DEPOT ROAD,Linear,57.63636363635305
2029,BUKIT MERAH,DEPOT ROAD,Linear,0.0
2030,BUKIT MERAH,DEPOT ROAD,Linear,0.0
2026,BUKIT MERAH,DEPOT ROAD,Prophet,571.0055128031199
2027,BUKIT MERAH,DEPOT ROAD,Prophet,571.3706154958902
2028,BUKIT MERAH,DEPOT ROAD,Prophet,571.7367184700106
2029,BUKIT MERAH,DEPOT ROAD,Prophet,572.1018211627808
2030,BUKIT MERAH,DEPOT ROAD,Prophet,572.466923855551
2026,BUKIT MERAH,EVERTON PARK,Linear,0.0
2027,BUKIT MERAH,EVERTON PARK,Linear,0.0
2028,BUKIT MERAH,EVERTON PARK,Linear,0.0
2029,BUKIT MERAH,EVERTON PARK,Linear,0.0
